skill
python
java
sql
mongodb
mysql
postgresql
pandas
numpy
scikit-learn
tensorflow
pytorch
spark
kafka
airflow
etl
aws
azure
gcp
docker
kubernetes
linux
git
rest api
fastapi
flask
django
html
css
javascript
react
tableau
power bi
nlp
excel
agile
scrum
